detect_id,detect_ts,detect_lat,detect_lon,gnn_decision,gnn_vessel_id,gnn_confidence,gnn_empirical_precision,gnn_candidate_count,ais_verdict,ais_before_km,ais_after_km,length_m_inferred,speed_kn_inferred,matching_score,matching_score_secondary,score_no_length,is_band1,is_band3,in_routed,excluded_vessel_filter,excluded_fixed_infra_v2,excluded_fixed_structure,excluded_on_land,excluded_graph_transitive,excluded_manual_noise,excluded_not_in_pipe,imo,source,vessel_id_topcand,top_candidate_prob,max_cos,date,name,during_freeze,km_from_broadcast,sources,excluded,excl_flags
S2A_MSIL1C_20170804T154911_N0205_R054_T18SVJ_20170804T155116;-75.5124550;39.4135450,2017-08-04 15:51:16.340000+00:00,39.413545,-75.512455,assigned,IMO-9259599,0.7316679660894181,0.988173,6,plausible,25.882844405349402,191.68507528989207,263.0,1.15,0.0,,,False,True,True,False,False,False,False,False,False,False,9259599,reid,,,,2017-08-04,AKKORD,False,8231,raw+reid,False,
S2B_MSIL1C_20171122T064149_N0206_R120_T40RDN_20171122T084845;56.96694300;25.0283290,2017-11-22 06:46:34.470000+00:00,25.028329,56.966943,assigned,IMO-9259599,0.7539277107457529,0.991075,6,plausible,32.56123004414106,558.8588101826897,215.2,11.45,0.00026285341908673034,,0.0015341763020617592,False,False,False,False,False,False,False,False,False,False,9259599,reid,,,,2017-11-22,AKKORD,False,3152,raw+reid,False,
S2B_MSIL1C_20180221T074929_N0206_R135_T35HNB_20180221T131117;27.90560900;-35.093843,2018-02-21 08:14:05.640000+00:00,-35.093843,27.905609,assigned,IMO-9259599,0.7422669789213501,0.989556,7,plausible,105.39815562394004,640.8732436611288,223.79999999999998,13.05,8.908529787262193e-06,,0.00012170935518063638,False,False,False,False,False,False,False,False,False,False,9259599,reid,,,,2018-02-21,AKKORD,False,8525,raw+reid,False,
S2B_MSIL1C_20180319T030539_N0206_R075_T48NVG_20180319T064117;104.5841000;1.44703100,2018-03-19 03:25:47.670000+00:00,1.447031,104.5841,assigned,IMO-9259599,0.7330624289605794,0.988173,6,plausible,44.5788238322778,54.030625115804035,238.9,8.41,0.0,,,False,True,True,False,False,False,False,False,False,False,9259599,reid,,,,2018-03-19,AKKORD,False,8696,raw+reid,False,
S2B_MSIL1C_20180327T022549_N0206_R046_T50QQH_20180327T060147;119.8790850;20.1204620,2018-03-27 02:41:36.910000+00:00,20.120462,119.879085,assigned,IMO-9259599,0.7046125340210985,0.98324,6,plausible,144.1510226409908,308.0873877733813,184.8,11.13,5.911887336904844e-05,,0.0003685174477073245,False,False,False,False,False,False,False,False,False,False,9259599,reid,,,,2018-03-27,AKKORD,False,8601,raw+reid,False,
S2A_MSIL1C_20180329T021651_N0206_R003_T51RVL_20180329T041051;123.0308810;27.6870370,2018-03-29 02:16:48.460000+00:00,27.687037,123.030881,assigned,IMO-9259599,0.7199182449044912,0.985507,6,plausible,350.12475862583676,214.07660766141987,192.7,2.84,0.00012290425359857046,,0.0007661235620270067,False,False,False,False,False,False,False,False,False,False,9259599,reid,,,,2018-03-29,AKKORD,False,8311,raw+reid,False,
S2A_MSIL1C_20180427T024551_N0206_R132_T49PEK_20180427T073238;111.3830280;8.78537100,2018-04-27 03:04:41.300000+00:00,8.785371,111.383028,assigned,IMO-9259599,0.7544613998596859,0.991075,7,plausible,252.8083535734653,284.59092271789854,210.5,13.55,0.00023489867087977313,,0.0014642406684931407,False,False,False,False,False,False,False,False,False,False,9259599,reid,,,,2018-04-27,AKKORD,False,8719,raw+reid,False,
S2A_MSIL1C_20180503T030541_N0206_R075_T48NVG_20180503T082539;104.8998120;1.42508200,2018-05-03 03:26:32.740000+00:00,1.425082,104.899812,assigned,IMO-9259599,0.7789560057010725,0.99648,7,plausible,53.357938504563485,4.922545455802317,211.20000000000002,12.06,0.0001619671314180167,,0.0035992695870670378,False,False,False,False,False,False,False,False,False,False,9259599,reid,,,,2018-05-03,AKKORD,False,8723,raw+reid,False,
S2A_MSIL1C_20180716T060631_N0206_R134_T42RTN_20180716T090615;66.46132000;24.8825540,2018-07-16 06:20:59.330000+00:00,24.882554,66.46132,assigned,IMO-9259599,0.7577304121647757,0.991075,7,plausible,0.12714652391404416,8.799695700027437,211.6,0.26,3.3836778582290896e-08,,6.676227478119715e-07,False,True,True,False,False,False,False,False,False,False,9259599,reid,,,,2018-07-16,AKKORD,False,3896,raw+reid,False,
S2B_MSIL1C_20180809T081559_N0206_R121_T34HDG_20180809T120858;20.04685400;-35.134415,2018-08-09 08:42:00.620000+00:00,-35.134415,20.046854,assigned,IMO-9259599,0.723823117387326,0.987741,8,plausible,76.01753475539145,611.8917265707034,238.79999999999998,15.52,3.801618774998447e-09,0.0013678660558811477,7.515006087815782e-08,False,False,False,False,False,False,False,False,False,False,9259599,reid,,,,2018-08-09,AKKORD,False,8579,raw+reid,False,
