ssvid,frozen_days,first_d,last_d,msgs,msgs_all,lat,lon,shipname,imo,shiptype,len_m,lists,first_listed,n_episodes,frozen_days_total,still_frozen,h3,jam_during,jam_baseline,ratio,gnss_explains,signature,decoy_runs,decoy_days,decoy_hours,decoy_msgs,decoy_first,decoy_last,decoy_lat,decoy_lon
273271560,29,2026-08-14,2026-09-11,13916,80953,41.5667,29.1199,AKKORD,9259599,"Tanker, all ships of this type",239.0,"CAN,EU,GBR,UKR,USA",2024-01-18,1,29,False,842d26dffffffff,0.1383,0.1147,1.206,True,both,2,2.0,15.2,914,2026-08-12 13:41:01+00:00,2026-09-13 07:21:06+00:00,41.45032666666667,29.70924875
273128820,14,2026-08-27,2026-09-09,6633,16793,41.4887,29.1996,PIROP,9257022,"Tanker, all ships of this type",239.0,"AUS,CAN,EU,GBR,UKR",2024-12-17,1,14,False,842d26dffffffff,0.1075,0.1548,0.694,False,both,1,1.0,2.2,125,2026-09-10 14:22:01+00:00,2026-09-10 16:36:41+00:00,40.65824,27.417675000000003
273277650,11,2026-08-20,2026-08-30,5273,35586,41.5905,29.0911,STRATEG,9589750,"Tanker, all ships of this type",274.0,"CAN,EU,GBR,UKR,USA",2025-01-10,1,11,False,842d26dffffffff,0.1507,0.1281,1.176,True,frozen,,,,,,,,
273123820,10,2026-08-28,2026-09-06,4795,13468,41.6907,29.0213,KHRIZOPRAZ,9337901,"Tanker, all ships of this type",245.0,"AUS,CAN,EU,GBR,UKR",2025-02-24,1,10,False,841ecd3ffffffff,0.0858,0.0888,0.966,False,both,1,1.0,2.8,171,2026-08-27 10:26:33+00:00,2026-08-27 13:16:04+00:00,41.48180083333334,29.184067499999998
273125720,10,2026-08-28,2026-09-06,4572,16964,41.5127,29.2264,DEMANTOID,9388780,"Tanker, all ships of this type",245.0,"AUS,CAN,CHE,EU,GBR,UKR",2025-02-24,1,10,False,842d26dffffffff,0.1221,0.1431,0.853,False,both,2,2.0,16.2,977,2026-08-26 11:33:21+00:00,2026-09-09 11:59:01+00:00,41.61043791666667,30.403885000000002
273120920,9,2026-09-03,2026-09-11,4316,14588,41.5564,29.0978,LABRADOR,9274800,"Tanker, all ships of this type",249.0,"AUS,CAN,CHE,EU,GBR,UKR",2025-02-24,1,9,False,842d26dffffffff,0.1174,0.1418,0.828,False,both,2,2.0,3.6,218,2026-09-02 08:39:51+00:00,2026-09-12 19:02:04+00:00,41.46190416666667,29.3055475
273124910,3,2026-08-29,2026-08-31,1164,19683,41.4561,29.1371,MIMOZA,9323314,"Tanker, all ships of this type",195.0,"CAN,EU,GBR,UKR",2025-10-24,1,3,False,841ec99ffffffff,0.1235,0.1873,0.659,False,both,8,2.0,24.2,1464,2026-08-27 07:52:57+00:00,2026-08-28 09:06:05+00:00,41.854543541666665,33.384636354166666
273125900,2,2026-09-13,2026-09-14,959,25065,41.5667,29.1199,VAGA,9314882,"Tanker, all ships of this type",182.0,"AUS,CAN,EU,GBR,UKR",2025-06-13,1,2,True,842d26dffffffff,0.09,0.1294,0.696,False,both,1,1.0,2.6,113,2026-09-12 19:31:35+00:00,2026-09-12 22:09:27+00:00,41.44154,29.231456666666666
631010125,2,2026-09-02,2026-09-03,795,21651,41.2809,29.0366,INVICTA,9250543,"Tanker, all ships of this type",244.0,"AUS,CAN,EU,GBR,UKR",2024-11-25,1,2,False,841ec99ffffffff,0.2554,0.1786,1.43,True,both,3,1.0,6.7,405,2026-09-01 08:24:04+00:00,2026-09-01 17:56:07+00:00,41.42404972222223,30.405037500000002
273271320,0,2026-08-24,2026-08-24,376,48139,41.7973,29.0576,PIONER 1,9378618,"Tanker, all ships of this type",244.0,"CAN,EU,GBR,UKR,USA",2025-01-10,0,0,False,841ecd3ffffffff,0.1175,0.09,1.306,True,moving_decoy,2,1.0,6.2,376,2026-08-24 09:59:03+00:00,2026-08-24 22:11:05+00:00,41.797339583333326,29.057639166666668
273276070,0,2026-09-03,2026-09-03,156,36018,41.4741,29.7981,ANEMON,9323338,Not available,195.0,"CAN,GBR,UKR,USA",2024-01-18,0,0,False,842d265ffffffff,0.0514,0.0703,0.731,False,moving_decoy,1,1.0,2.6,156,2026-09-03 14:29:17+00:00,2026-09-03 17:04:07+00:00,41.4741,29.79808416666667
273279840,0,2026-08-24,2026-09-02,1177,67047,41.4178,29.8144,NASLEDIE,9293002,"Tanker, all ships of this type",244.0,"AUS,CAN,EU,GBR,UKR",2025-05-21,0,0,False,842d265ffffffff,0.0712,0.0676,1.053,True,moving_decoy,3,2.0,19.6,1177,2026-08-24 18:32:04+00:00,2026-09-02 05:46:02+00:00,41.41776111111111,29.81441083333333
