imo,name,english,renamed,new_mmsi,ais_days,ais_days_frozen,ais_days_displaced,frozen_at,frozen_from,ais_last,ais_last_lat,ais_last_lon,s2_matched,gnn_all,gnn_band3,gnn_served,gnn_served_clean,gnn_served_contradicted,gnn_served_while_frozen,gnn_band1,first_clean,last_clean,mean_conf_clean,where
9299733,MALAKHIT,malachite,2026-07-14,273127020,53,0,4,,,2026-09-04,30.64,32.45,15,2,2,2,2,0,0,0,2026-07-16,2026-07-21,0.74,29.7N 32.6E
9404948,GRANAT,garnet,2026-07-22,273121220,45,0,5,,,2026-09-04,5.92,79.94,14,3,3,2,2,0,0,0,2026-08-16,2026-08-16,0.81,37.8N 5.7E
9439383,ONIKS,onyx,2026-07-22,273121120,45,0,7,,,2026-09-04,13.94,85.31,13,3,2,1,1,0,0,0,2026-08-05,2026-08-05,0.65,37.9N 8.1E
9384069,LAZURIT,lapis lazuli,2026-07-23,273129220,44,0,7,,,2026-09-04,29.85,32.58,9,1,1,1,1,0,0,0,2026-08-15,2026-08-15,0.75,18.5N 39.3E
9323986,GELIOTROP,heliotrope (bloodstone),2026-07-27,273129320,40,1,3,19.19N 38.89E,2026-09-01,2026-09-04,14.15,52.37,16,0,0,0,0,0,0,0,,,,
9387255,KARNEOL,carnelian,2026-07-28,273123220,35,0,6,,,2026-09-04,40.8,-10.2,8,2,1,0,0,0,0,0,,,,
9346744,SHPINEL,spinel,2026-07-28,273128420,39,0,3,,,2026-09-04,29.76,32.6,5,2,2,1,1,0,0,0,2026-08-01,2026-08-01,0.82,35.0N 129.1E
9437983,TSITRIN,citrine,2026-07-31,273128320,36,0,5,,,2026-09-04,9.46,68.57,9,0,0,0,0,0,0,0,,,,
9332781,YANTAR,amber,2026-08-03,273127520,33,0,7,,,2026-09-04,20.67,63.49,8,3,3,2,2,0,0,0,2026-08-07,2026-08-12,0.78,"50.6N 0.5E, 59.7N 23.5E"
9388780,DEMANTOID,demantoid (green garnet),2026-08-05,273125720,31,8,0,41.51N 29.23E,2026-08-28,2026-09-04,41.51,29.23,9,6,4,3,3,0,2,0,2026-08-27,2026-09-04,0.66,"41.5N 41.1E, 41.8N 36.2E, 42.2N 35.3E"
9311531,BERILL,beryl,2026-08-06,273122820,22,4,1,42.77N 132.89E,2026-08-13,2026-09-04,34.2,127.86,1,0,0,0,0,0,0,0,,,,
9257022,PIROP,pyrope (red garnet),2026-08-06,273128820,30,9,0,41.49N 29.20E,2026-08-27,2026-09-04,41.49,29.2,8,8,8,6,5,1,3,0,2026-08-10,2026-08-31,0.8,"29.8N 32.6E, 37.3N 26.0E, 41.1N 38.3E, 43.3N 39.8E"
9337901,KHRIZOPRAZ,chrysoprase,2026-08-06,273123820,30,8,0,41.69N 29.02E,2026-08-28,2026-09-04,41.69,29.02,12,3,3,3,3,0,1,0,2026-08-19,2026-08-31,0.84,"39.9N 25.9E, 42.9N 39.9E"
9274800,LABRADOR,labradorite,2026-08-07,273120920,29,2,0,41.56N 29.10E,2026-09-03,2026-09-04,41.56,29.1,12,3,3,3,3,0,1,0,2026-08-14,2026-09-03,0.74,"39.9N 25.9E, 41.2N 39.9E, 42.2N 33.5E"
9419151,SFEN,sphene (titanite),2026-08-08,273124720,24,0,1,,,2026-09-04,23.66,117.59,14,2,2,1,1,0,0,0,2026-08-11,2026-08-11,0.45,42.8N 132.9E
9412452,TSOIZIT,zoisite,2026-08-10,273127920,24,0,0,,,2026-09-04,59.9,28.58,2,1,1,1,1,0,0,0,2026-08-10,2026-08-10,0.78,29.8N 32.6E
9384992,SAPFIR,sapphire,2026-08-15,273120230,21,0,0,,,2026-09-04,58.69,21.94,6,1,1,0,0,0,0,0,,,,
9368235,RAUKHTOPAZ,smoky quartz (lit. smoky topaz),2026-08-15,273129920,21,0,0,,,2026-09-04,40.84,29.21,10,0,0,0,0,0,0,0,,,,
9336426,SERDOLIK,sard / carnelian,2026-08-18,273129330,18,0,8,,,2026-09-04,60.2,27.93,1,0,0,0,0,0,0,0,,,,
9281009,BIRYUZA,turquoise,2026-08-19,273125330,17,0,0,,,2026-09-04,29.71,32.59,5,0,0,0,0,0,0,0,,,,
9337418,TSIRKON,zircon,2026-08-19,273128330,17,0,3,,,2026-09-04,43.04,-9.66,3,1,1,0,0,0,0,0,,,,
