imo,new_name,english,prev_name,prev_flag,renamed,new_ssvid,reg_owner,reg_owner_cty,tech_mgr,mgr_type,mgr_inc,mgr_addr,sanctions
9299733,MALAKHIT,malachite,NAGARJUNA,Sierra Leone,2026-07-14,273127020,Devta Ltd,Seychelles,Kun Lun Shan Shipmanagement Co,HK place-name shell,2024-11-12,Rm 1801 Easey Comm. Bldg,AUS CAN CHE EU GBR UKR
9404948,GRANAT,garnet,THRON,Cameroon,2026-07-22,273121220,Acropora Marine Inc,Seychelles,Chao Zhou Hu Shipmanagement Co,HK place-name shell,2025-01-26,"HK, no street addr",AUS CAN CHE EU GBR UKR
9439383,ONIKS,onyx,BHILVA,Panama,2026-07-22,273121120,Tika Shipping Ltd,Seychelles,Da Bie Shan Shipmanagement Co,HK place-name shell,2025-01-26,"HK, no street addr",CAN EU GBR UKR
9384069,LAZURIT,lapis lazuli,LION I,Cameroon,2026-07-23,273129220,Kario Maritime Inc,Seychelles,Mo Chou Hu Shipmanagement Co,HK place-name shell,2025-03-13,"HK, no street addr",CAN CHE EU GBR UKR
9323986,GELIOTROP,heliotrope (bloodstone),GARASAN,Sierra Leone,2026-07-27,273129320,Tian Long Navigation Ltd,Hong Kong,Charai Sea Shipping Pvt Ltd,other,,,AUS CAN CHE EU GBR UKR
9387255,KARNEOL,carnelian,VEXIA,Cameroon,2026-07-28,273123220,Azure Maritime Services & Trdg,St Kitts & Nevis,East Gemi Isletmeciligi AS,other,2011-04-05,F.KERIM GOKAY CAD.BESTEKAR SADETTIN KAYN,AUS CAN CHE EU GBR UKR
9346744,SHPINEL,spinel,MA JIN,Sierra Leone,2026-07-28,273128420,Kongri Maritime Inc,Seychelles,Qin Huai He Shipmanagement Co,HK place-name shell,2024-09-05,"HK, no street addr",AUS CAN EU GBR UKR
9437983,TSITRIN,citrine,CAI YUN,Sierra Leone,2026-07-31,273128320,Acceronix Ltd,Seychelles,Hua Guo Shan Shipmanagement Co,HK place-name shell,2024-11-12,"HK, no street addr",AUS CAN CHE EU GBR UKR
9332781,YANTAR,amber,AQUA TITAN,Cameroon,2026-08-03,273127520,Lafafa Shipping Ltd,Seychelles,Huang Qi Hai Shipmanagement Co,HK place-name shell,2025-01-26,"HK, no street addr",AUS CAN EU GBR UKR
9388780,DEMANTOID,demantoid (green garnet),BAI LU,Sierra Leone,2026-08-05,273125720,Bubble Marine Inc,Seychelles,Qian Dao Hu Shipmanagement Co,HK place-name shell,2024-09-05,"HK, no street addr",AUS CAN CHE EU GBR UKR
9311531,BERILL,beryl,LINDOR,Cameroon,2026-08-06,273122820,Viman Maritime Inc,Seychelles,Hei Long Jiang Shipmanagement,HK place-name shell,2024-11-12,"HK, no street addr",AUS CAN CHE EU GBR UKR
9257022,PIROP,pyrope (red garnet),STARLIT,Equatorial Guinea,2026-08-06,273128820,Sarswati Shipping Ltd,Seychelles,Tong Luo Shan Shipmanagement,HK place-name shell,2025-01-26,"HK, no street addr",AUS CAN EU GBR UKR
9337901,KHRIZOPRAZ,chrysoprase,RIMMA,Cameroon,2026-08-06,273123820,He Xei Shipping Ltd,Hong Kong,Liao He Shipmanagement Co Ltd,HK place-name shell,2024-11-12,"HK, no street addr",AUS CAN EU GBR UKR
9274800,LABRADOR,labradorite,ASTRAL,Sierra Leone,2026-08-07,273120920,Yamai Maritime Inc,Seychelles,Tuluvai Shipping Pvt Ltd,other,,,AUS CAN CHE EU GBR UKR
9419151,SFEN,sphene (titanite),STENA BRITANNICA,Sierra Leone,2026-08-08,273124720,Namas Maritime Inc,Seychelles,Gui Zhou Fa Zhan Ship,HK shell (Gui Zhou),,,CAN EU GBR UKR
9412452,TSOIZIT,zoisite,NILANGA,Sierra Leone,2026-08-10,273127920,Afsona Ltd,Seychelles,Ge Le Shan Shipmanagement Co,HK place-name shell,2025-01-26,"HK, no street addr",CAN CHE EU GBR UKR
9384992,SAPFIR,sapphire,MARS 6,Sierra Leone,2026-08-15,273120230,Bengo Aquatic Inc,Seychelles,Ping Ding Shan Shipmanagement,HK place-name shell,2024-09-05,"HK, no street addr",CAN EU GBR UKR
9368235,RAUKHTOPAZ,smoky quartz (lit. smoky topaz),NEVAH,Cameroon,2026-08-15,273129920,Lai Jing Shipping Ltd,Hong Kong,Tao Hua Jiang Shipmanagement,HK place-name shell,2025-01-26,"HK, no street addr",AUS CAN EU GBR UKR
9336426,SERDOLIK,sard / carnelian,SELVA,Oman,2026-08-18,273129330,Najm Navigation LLC,Oman,Vijaynagar Voyage Shipping Pvt,other,,,AUS CAN CHE EU GBR UKR
9281009,BIRYUZA,turquoise,JI HANG,Cameroon,2026-08-19,273125330,Jihang Shipping Ltd,Marshall Islands,Pertmarine Shipping Co Ltd,other,,"ROOM 101, 143-3, ZHUZHOU LU, LAOSHAN QU,",CAN EU GBR UKR
9337418,TSIRKON,zircon,ATMOS,Palau,2026-08-19,273128330,Yamai Maritime Inc,Seychelles,Wu Yi Shan Shipmanagement Co,HK place-name shell,2025-03-13,"HK, no street addr",CAN EU GBR
9332834,SPESSARTIN,spessartine (garnet),MYSTERY,Sierra Leone,2026-08-21,273127330,Tukara Ltd,Seychelles,Han Jiang Shipmanagement Co,HK place-name shell,2024-11-12,"HK, no street addr",AUS CAN CHE EU GBR UKR
9319686,GAGAT,jet,HU PO,Sierra Leone,2026-08-22,273120330,Nawada Maritime Inc,Seychelles,Ya Long Wan Shipmanagement,HK place-name shell,2025-04-29,Rm 1801 Easey Comm. Bldg,AUS CAN EU GBR UKR
9388766,TANZANIT,tanzanite,DESTAN,Oman,2026-08-22,273121230,Qendil Marina LLC,Oman,Vijaynagar Voyage Shipping Pvt,other,,,AUS CAN EU GBR UKR
9368223,VEZUVIAN,vesuvianite,ACHILLES,Oman,2026-08-26,273126430,Siraj Maritime LLC,Oman,Vijaynagar Voyage Shipping Pvt,other,,,AUS CAN EU GBR UKR
9419450,MORGANIT,morganite,JEWEL,Panama,2026-08-26,273121430,Maluga Shipping Ltd,Mauritius,Gao You Hu Shipmanagement Co,HK place-name shell,2025-03-13,"HK, no street addr",CAN EU GBR UKR
9402471,NEFRIT,nephrite (jade),QASR,Oman,2026-08-27,273125530,Qasr Marina LLC,Oman,Ri Yue Shan Shipmanagement Co,HK place-name shell,2025-01-26,"HK, no street addr",AUS CAN EU GBR UKR
